subset_date~date;geo_1~localite;geo_2~filet;pie_1~statut_migrateur;subset_1~statut_agronomique;quantity~quantite;IUCN_id;subset_3_x~espece;link~URL;subset_2~iucn_cat
1903-04-06;Lavelanet;f_007;inconnu;non concerné;2;22698375;Thalassarche melanophris;https://www.iucnredlist.org/species/22698375/132643647;LC
1876-01-24;Lavelanet;f_001;migrateur;susceptible de provoquer des dégats;1;22705921;Pyrrhocorax graculus;https://www.iucnredlist.org/species/22705921/87386602;LC
1902-12-08;Lavelanet;f_005;inconnu;auxiliaire;6;22710259;Oenanthe leucura;https://www.iucnredlist.org/species/22710259/132085979;LC
1871-02-24;Peyrissas;f_001;inconnu;susceptible de provoquer des dégats;3;22735929;Larus cachinnans;https://www.iucnredlist.org/species/22735929/132665415;LC
1885-02-07;Lavelanet;f_003;inconnu;susceptible de provoquer des dégats;1;22680492;Mergus merganser;https://www.iucnredlist.org/species/22680492/132054083;LC
1871-08-29;Gardouch;f_001;reproducteur;susceptible de provoquer des dégats;4;22693740;Pluvialis dominica;https://www.iucnredlist.org/species/22693740/93420396;LC
1883-09-20;Lavelanet;f_002;migrateur;auxiliaire;3;NA;Oceanodroma castro;NA;NA
1886-06-12;Lavelanet;f_004;migrateur;non concerné;2;22693464;Calidris falcinellus;https://www.iucnredlist.org/species/22693464/155481741;LC
1868-12-02;Gardouch;f_001;migrateur;non concerné;3;22693220;Tringa nebularia;https://www.iucnredlist.org/species/22693220/86684205;LC
1869-10-25;Lavelanet;f_005;reproducteur;susceptible de provoquer des dégats;4;22693072;Scolopax minor;https://www.iucnredlist.org/species/22693072/93382120;LC
1908-06-07;Lavelanet;f_010;inconnu;auxiliaire;2;22694927;Fratercula arctica;https://www.iucnredlist.org/species/22694927/132581443;VU
1889-10-22;Lavelanet;f_011;migrateur;auxiliaire;2;22693868;Charadrius asiaticus;https://www.iucnredlist.org/species/22693868/131930637;LC
1897-01-23;Lavelanet;f_008;migrateur;susceptible de provoquer des dégats;3;22689714;Chordeiles minor;https://www.iucnredlist.org/species/22689714/93244252;LC
1903-07-16;Lavelanet;f_004;migrateur;auxiliaire;4;22718617;Prunella collaris;https://www.iucnredlist.org/species/22718617/88039291;LC
1878-11-18;Lavelanet;f_002;reproducteur;susceptible de provoquer des dégats;3;22697211;Nycticorax nycticorax;https://www.iucnredlist.org/species/22697211/155515762;LC
1885-09-27;Gardouch;f_001;migrateur;auxiliaire;4;22720441;Linaria cannabina;https://www.iucnredlist.org/species/22720441/132139778;LC
1899-08-11;Gardouch;f_006;reproducteur;auxiliaire;3;22694127;Glareola pratincola;https://www.iucnredlist.org/species/22694127/120026910;LC
1891-09-05;Peyrissas;f_001;inconnu;susceptible de provoquer des dégats;3;62030590;Larus smithsonianus;https://www.iucnredlist.org/species/62030590/155596462;LC
1891-02-14;Lavelanet;f_002;migrateur;auxiliaire;4;22728432;Puffinus mauretanicus;https://www.iucnredlist.org/species/22728432/132658315;CR
1896-05-24;Gardouch;f_002;reproducteur;auxiliaire;2;22718575;Anthus rubescens;https://www.iucnredlist.org/species/22718575/155437845;LC
1883-02-06;Gardouch;f_006;inconnu;non concerné;2;22679943;Branta leucopsis;https://www.iucnredlist.org/species/22679943/131909954;LC
1905-12-16;Peyrissas;f_002;reproducteur;auxiliaire;2;22708286;Monticola solitarius;https://www.iucnredlist.org/species/22708286/87933903;LC
1891-11-19;Peyrissas;f_004;inconnu;non concerné;3;22714736;Acrocephalus dumetorum;https://www.iucnredlist.org/species/22714736/111098258;LC
1901-06-03;Gardouch;f_002;inconnu;non concerné;3;22696362;Falco tinnunculus;https://www.iucnredlist.org/species/22696362/93556429;LC
1900-08-02;Peyrissas;f_002;migrateur;auxiliaire;3;22697211;Nycticorax nycticorax;https://www.iucnredlist.org/species/22697211/155515762;LC
1885-09-28;Gardouch;f_002;migrateur;non concerné;3;22696076;Aquila fasciata;https://www.iucnredlist.org/species/22696076/155464015;LC
1892-01-09;Lavelanet;f_005;inconnu;susceptible de provoquer des dégats;2;22694629;Sterna paradisaea;https://www.iucnredlist.org/species/22694629/132065195;LC
1907-12-09;Gardouch;f_004;migrateur;susceptible de provoquer des dégats;1;22720062;Carduelis citrinella;https://www.iucnredlist.org/species/22720062/111124877;LC
1896-08-12;Gardouch;f_006;inconnu;susceptible de provoquer des dégats;4;22697834;Gavia arctica;https://www.iucnredlist.org/species/22697834/132606505;LC
1879-09-22;Lavelanet;f_008;reproducteur;non concerné;0;22694497;Rissa tridactyla;https://www.iucnredlist.org/species/22694497/155617539;VU
1894-05-23;Gardouch;f_002;reproducteur;non concerné;4;22694861;Cepphus grylle;https://www.iucnredlist.org/species/22694861/132577878;LC
1906-03-28;Gardouch;f_006;migrateur;auxiliaire;3;22694841;Uria aalge;https://www.iucnredlist.org/species/22694841/132577296;LC
1891-05-20;Lavelanet;f_008;inconnu;auxiliaire;3;22714891;Iduna caligata;https://www.iucnredlist.org/species/22714891/111100210;LC
1902-08-03;Gardouch;f_003;reproducteur;susceptible de provoquer des dégats;4;22698375;Thalassarche melanophris;https://www.iucnredlist.org/species/22698375/132643647;LC
1885-06-04;Lavelanet;f_001;inconnu;auxiliaire;3;22693404;Calidris bairdii;https://www.iucnredlist.org/species/22693404/129653281;LC
1905-08-10;Lavelanet;f_003;migrateur;susceptible de provoquer des dégats;3;22718575;Anthus rubescens;https://www.iucnredlist.org/species/22718575/155437845;LC
1883-06-17;Lavelanet;f_002;migrateur;susceptible de provoquer des dégats;4;22716937;Sylvia nisoria;https://www.iucnredlist.org/species/22716937/87716403;LC
1895-09-09;Lavelanet;f_003;inconnu;susceptible de provoquer des dégats;3;103811886;Delichon urbicum;https://www.iucnredlist.org/species/103811886/118748864;LC
1902-04-27;Lavelanet;f_004;inconnu;auxiliaire;4;22680462;Bucephala albeola;https://www.iucnredlist.org/species/22680462/92863192;LC
1878-08-29;Lavelanet;f_010;inconnu;auxiliaire;4;22720441;Linaria cannabina;https://www.iucnredlist.org/species/22720441/132139778;LC
1869-03-29;Lavelanet;f_003;reproducteur;auxiliaire;3;22724354;Molothrus ater;https://www.iucnredlist.org/species/22724354/132175819;LC
1894-07-18;Lavelanet;f_008;inconnu;susceptible de provoquer des dégats;2;22697834;Gavia arctica;https://www.iucnredlist.org/species/22697834/132606505;LC
1907-08-17;Lavelanet;f_010;reproducteur;susceptible de provoquer des dégats;4;22694730;Onychoprion anaethetus;https://www.iucnredlist.org/species/22694730/154676367;LC
1870-09-26;Gardouch;f_003;inconnu;susceptible de provoquer des dégats;2;22720041;Fringilla montifringilla;https://www.iucnredlist.org/species/22720041/88203665;LC
1909-07-31;Gardouch;f_002;inconnu;auxiliaire;4;22680364;Aythya valisineria;https://www.iucnredlist.org/species/22680364/92858752;LC
1877-12-14;Lavelanet;f_002;inconnu;non concerné;2;22696362;Falco tinnunculus;https://www.iucnredlist.org/species/22696362/93556429;LC
1876-04-28;Gardouch;f_005;inconnu;susceptible de provoquer des dégats;2;22689714;Chordeiles minor;https://www.iucnredlist.org/species/22689714/93244252;LC
1881-07-25;Peyrissas;f_002;inconnu;non concerné;4;22716776;Panurus biarmicus;https://www.iucnredlist.org/species/22716776/87767500;LC
1873-04-09;Peyrissas;f_002;inconnu;non concerné;3;22693211;Tringa totanus;https://www.iucnredlist.org/species/22693211/86687799;LC
1900-09-02;Lavelanet;f_009;reproducteur;susceptible de provoquer des dégats;5;22714657;Locustella naevia;https://www.iucnredlist.org/species/22714657/118740792;LC
1901-10-10;Lavelanet;f_008;inconnu;non concerné;4;22680229;Spatula discors;https://www.iucnredlist.org/species/22680229/92850997;LC
1884-07-19;Lavelanet;f_001;inconnu;susceptible de provoquer des dégats;3;22718617;Prunella collaris;https://www.iucnredlist.org/species/22718617/88039291;LC
1876-04-30;Lavelanet;f_009;reproducteur;auxiliaire;3;22695028;Elanus caeruleus;https://www.iucnredlist.org/species/22695028/152521997;LC
1870-09-16;Gardouch;f_003;inconnu;auxiliaire;2;22694629;Sterna paradisaea;https://www.iucnredlist.org/species/22694629/132065195;LC
1877-04-14;Peyrissas;f_003;inconnu;auxiliaire;5;22678944;Coturnix coturnix;https://www.iucnredlist.org/species/22678944/131904485;LC
1896-01-08;Peyrissas;f_001;inconnu;auxiliaire;3;22735929;Larus cachinnans;https://www.iucnredlist.org/species/22735929/132665415;LC
1888-10-16;Lavelanet;f_001;inconnu;susceptible de provoquer des dégats;2;22694861;Cepphus grylle;https://www.iucnredlist.org/species/22694861/132577878;LC
1898-08-19;Gardouch;f_003;inconnu;non concerné;4;22692816;Porphyrio alleni;https://www.iucnredlist.org/species/22692816/93370659;LC
1884-01-25;Gardouch;f_002;inconnu;susceptible de provoquer des dégats;1;22721737;Setophaga striata;https://www.iucnredlist.org/species/22721737/131459482;NT
1892-05-12;Lavelanet;f_006;inconnu;non concerné;3;103888106;Turdus merula;https://www.iucnredlist.org/species/103888106/87871094;LC
1880-04-15;Gardouch;f_001;inconnu;auxiliaire;5;22689714;Chordeiles minor;https://www.iucnredlist.org/species/22689714/93244252;LC
1894-06-12;Gardouch;f_006;reproducteur;non concerné;3;22714445;Cettia cetti;https://www.iucnredlist.org/species/22714445/111073290;LC
1889-07-22;Gardouch;f_004;migrateur;non concerné;3;103843725;Phylloscopus collybita;https://www.iucnredlist.org/species/103843725/155613186;LC
1894-04-29;Gardouch;f_004;inconnu;susceptible de provoquer des dégats;2;22680174;Anas rubripes;https://www.iucnredlist.org/species/22680174/92848173;LC
1882-02-25;Lavelanet;f_002;migrateur;susceptible de provoquer des dégats;4;22697669;Ciconia nigra;https://www.iucnredlist.org/species/22697669/111747857;LC
1878-06-04;Lavelanet;f_009;inconnu;susceptible de provoquer des dégats;5;22718379;Motacilla citreola;https://www.iucnredlist.org/species/22718379/154492004;LC
1877-02-11;Lavelanet;f_001;reproducteur;auxiliaire;3;22686774;Tachymarptis melba;https://www.iucnredlist.org/species/22686774/86109107;LC
1901-05-04;Peyrissas;f_001;migrateur;non concerné;1;22724354;Molothrus ater;https://www.iucnredlist.org/species/22724354/132175819;LC
1899-12-22;Lavelanet;f_009;migrateur;non concerné;3;NA;Acanthis hornemanni;NA;NA
1877-12-02;Lavelanet;f_010;reproducteur;susceptible de provoquer des dégats;3;22680462;Bucephala albeola;https://www.iucnredlist.org/species/22680462/92863192;LC
1886-08-14;Gardouch;f_005;inconnu;susceptible de provoquer des dégats;3;22709315;Ficedula albicollis;https://www.iucnredlist.org/species/22709315/155539425;LC
1901-03-26;Lavelanet;f_002;reproducteur;susceptible de provoquer des dégats;2;22686709;Chaetura pelagica;https://www.iucnredlist.org/species/22686709/131792415;VU
1906-06-28;Lavelanet;f_007;inconnu;auxiliaire;4;22680405;Somateria mollissima;https://www.iucnredlist.org/species/22680405/132525971;NT
1883-04-22;Lavelanet;f_011;inconnu;susceptible de provoquer des dégats;3;22721762;Setophaga ruticilla;https://www.iucnredlist.org/species/22721762/94729665;LC
1882-01-15;Gardouch;f_005;inconnu;non concerné;5;22696076;Aquila fasciata;https://www.iucnredlist.org/species/22696076/155464015;LC
1873-12-23;Lavelanet;f_001;reproducteur;non concerné;2;22710055;Phoenicurus phoenicurus;https://www.iucnredlist.org/species/22710055/155611852;LC
1888-07-07;Peyrissas;f_004;reproducteur;non concerné;4;22694841;Uria aalge;https://www.iucnredlist.org/species/22694841/132577296;LC
1900-10-09;Peyrissas;f_002;migrateur;susceptible de provoquer des dégats;4;22734972;Milvus migrans;https://www.iucnredlist.org/species/22734972/155599376;LC
1904-04-18;Lavelanet;f_011;reproducteur;auxiliaire;3;22698375;Thalassarche melanophris;https://www.iucnredlist.org/species/22698375/132643647;LC
1881-08-10;Lavelanet;f_008;reproducteur;non concerné;3;22720030;Fringilla coelebs;https://www.iucnredlist.org/species/22720030/155432370;LC
1874-04-01;Peyrissas;f_004;inconnu;auxiliaire;5;22693868;Charadrius asiaticus;https://www.iucnredlist.org/species/22693868/131930637;LC
1884-03-04;Lavelanet;f_009;migrateur;non concerné;5;22693158;Limosa lapponica;https://www.iucnredlist.org/species/22693158/111221714;NT
1895-10-05;Gardouch;f_002;inconnu;non concerné;3;22734972;Milvus migrans;https://www.iucnredlist.org/species/22734972/155599376;LC
1898-06-26;Peyrissas;f_004;inconnu;susceptible de provoquer des dégats;4;62120190;Gallinula chloropus;https://www.iucnredlist.org/species/62120190/155506651;LC
1882-12-19;Lavelanet;f_001;reproducteur;non concerné;4;22714891;Iduna caligata;https://www.iucnredlist.org/species/22714891/111100210;LC
1891-09-25;Lavelanet;f_005;migrateur;auxiliaire;3;22720888;Emberiza cirlus;https://www.iucnredlist.org/species/22720888/132004013;LC
1905-11-13;Peyrissas;f_002;inconnu;auxiliaire;4;103888106;Turdus merula;https://www.iucnredlist.org/species/103888106/87871094;LC
1898-08-25;Gardouch;f_005;inconnu;non concerné;2;22718505;Anthus godlewskii;https://www.iucnredlist.org/species/22718505/94584095;LC
1886-05-21;Lavelanet;f_001;inconnu;auxiliaire;4;22697669;Ciconia nigra;https://www.iucnredlist.org/species/22697669/111747857;LC
1893-03-23;Gardouch;f_001;inconnu;non concerné;3;22695028;Elanus caeruleus;https://www.iucnredlist.org/species/22695028/152521997;LC
1907-06-08;Lavelanet;f_007;reproducteur;non concerné;2;22735929;Larus cachinnans;https://www.iucnredlist.org/species/22735929/132665415;LC
1884-12-19;Lavelanet;f_007;inconnu;auxiliaire;2;22680229;Spatula discors;https://www.iucnredlist.org/species/22680229/92850997;LC
1898-08-07;Lavelanet;f_009;migrateur;susceptible de provoquer des dégats;4;22725044;Acanthis flammea;https://www.iucnredlist.org/species/22725044/155292529;LC
1883-12-09;Peyrissas;f_001;inconnu;auxiliaire;3;22728432;Puffinus mauretanicus;https://www.iucnredlist.org/species/22728432/132658315;CR
1884-06-28;Gardouch;f_006;reproducteur;susceptible de provoquer des dégats;4;NA;Porzana pusilla;NA;NA
1876-01-07;Lavelanet;f_008;inconnu;non concerné;3;22734972;Milvus migrans;https://www.iucnredlist.org/species/22734972/155599376;LC
1877-04-30;Lavelanet;f_005;inconnu;auxiliaire;2;22694841;Uria aalge;https://www.iucnredlist.org/species/22694841/132577296;LC
1868-03-06;Lavelanet;f_001;migrateur;non concerné;3;22712427;Petrochelidon pyrrhonota;https://www.iucnredlist.org/species/22712427/94333165;LC
1908-06-22;Peyrissas;f_004;inconnu;non concerné;2;22683027;Alcedo atthis;https://www.iucnredlist.org/species/22683027/89575948;LC
1872-09-26;Peyrissas;f_001;migrateur;auxiliaire;2;22693150;Limosa limosa;https://www.iucnredlist.org/species/22693150/111611637;NT
1899-01-25;Gardouch;f_005;reproducteur;non concerné;3;22693740;Pluvialis dominica;https://www.iucnredlist.org/species/22693740/93420396;LC
1895-03-19;Gardouch;f_006;inconnu;non concerné;5;22724354;Molothrus ater;https://www.iucnredlist.org/species/22724354/132175819;LC
1888-07-09;Gardouch;f_002;reproducteur;susceptible de provoquer des dégats;2;22696610;Podiceps nigricollis;https://www.iucnredlist.org/species/22696610/132584321;LC
1905-10-21;Peyrissas;f_002;migrateur;auxiliaire;4;NA;Puffinus baroli;NA;NA
1869-01-23;Gardouch;f_005;inconnu;non concerné;3;22694841;Uria aalge;https://www.iucnredlist.org/species/22694841/132577296;LC
1875-01-22;Gardouch;f_004;reproducteur;non concerné;1;22694927;Fratercula arctica;https://www.iucnredlist.org/species/22694927/132581443;VU
1886-06-25;Gardouch;f_003;reproducteur;susceptible de provoquer des dégats;2;22721762;Setophaga ruticilla;https://www.iucnredlist.org/species/22721762/94729665;LC
1872-04-18;Peyrissas;f_004;migrateur;non concerné;2;22714445;Cettia cetti;https://www.iucnredlist.org/species/22714445/111073290;LC
1884-03-16;Lavelanet;f_006;reproducteur;non concerné;3;22735985;Cyanistes cyanus;https://www.iucnredlist.org/species/22735985/87434883;LC
1902-07-16;Peyrissas;f_004;migrateur;susceptible de provoquer des dégats;3;22720030;Fringilla coelebs;https://www.iucnredlist.org/species/22720030/155432370;LC
1889-02-22;Lavelanet;f_007;reproducteur;susceptible de provoquer des dégats;3;22714657;Locustella naevia;https://www.iucnredlist.org/species/22714657/118740792;LC
1899-08-18;Lavelanet;f_010;inconnu;susceptible de provoquer des dégats;5;22708146;Bombycilla garrulus;https://www.iucnredlist.org/species/22708146/87399543;LC
1886-02-10;Lavelanet;f_006;inconnu;susceptible de provoquer des dégats;4;22679943;Branta leucopsis;https://www.iucnredlist.org/species/22679943/131909954;LC
1888-03-14;Lavelanet;f_006;migrateur;non concerné;4;22714445;Cettia cetti;https://www.iucnredlist.org/species/22714445/111073290;LC
1888-04-27;Gardouch;f_005;inconnu;non concerné;3;22694127;Glareola pratincola;https://www.iucnredlist.org/species/22694127/120026910;LC
1882-02-05;Lavelanet;f_002;reproducteur;auxiliaire;3;22735965;Periparus ater;https://www.iucnredlist.org/species/22735965/118835425;LC
1879-08-19;Lavelanet;f_001;migrateur;non concerné;3;22680364;Aythya valisineria;https://www.iucnredlist.org/species/22680364/92858752;LC
1898-12-29;Peyrissas;f_002;migrateur;auxiliaire;2;22735985;Cyanistes cyanus;https://www.iucnredlist.org/species/22735985/87434883;LC
1909-09-26;Lavelanet;f_010;inconnu;susceptible de provoquer des dégats;4;22724367;Dolichonyx oryzivorus;https://www.iucnredlist.org/species/22724367/94863313;LC
1892-11-06;Gardouch;f_004;reproducteur;susceptible de provoquer des dégats;3;22692146;Grus grus;https://www.iucnredlist.org/species/22692146/86219168;LC
1887-11-11;Lavelanet;f_004;migrateur;auxiliaire;3;22709696;Luscinia megarhynchos;https://www.iucnredlist.org/species/22709696/111760622;LC
1905-12-25;Lavelanet;f_008;migrateur;susceptible de provoquer des dégats;1;22680358;Aythya ferina;https://www.iucnredlist.org/species/22680358/155473754;VU
1887-02-23;Gardouch;f_004;inconnu;non concerné;2;22716937;Sylvia nisoria;https://www.iucnredlist.org/species/22716937/87716403;LC
1869-01-07;Gardouch;f_006;reproducteur;susceptible de provoquer des dégats;2;22718644;Prunella atrogularis;https://www.iucnredlist.org/species/22718644/88042898;LC
1887-05-31;Gardouch;f_005;reproducteur;susceptible de provoquer des dégats;3;NA;Chroicocephalus philadelphia;NA;NA
1883-12-15;Lavelanet;f_010;migrateur;susceptible de provoquer des dégats;4;22697834;Gavia arctica;https://www.iucnredlist.org/species/22697834/132606505;LC
1896-05-21;Lavelanet;f_007;reproducteur;susceptible de provoquer des dégats;2;22695231;Aegypius monachus;https://www.iucnredlist.org/species/22695231/131935194;NT
1877-12-26;Lavelanet;f_011;inconnu;non concerné;3;22694730;Onychoprion anaethetus;https://www.iucnredlist.org/species/22694730/154676367;LC
1886-10-01;Lavelanet;f_011;reproducteur;non concerné;3;22710051;Phoenicurus ochruros;https://www.iucnredlist.org/species/22710051/155610899;LC
1890-08-19;Lavelanet;f_010;reproducteur;auxiliaire;6;22694127;Glareola pratincola;https://www.iucnredlist.org/species/22694127/120026910;LC
1871-10-06;Gardouch;f_003;migrateur;auxiliaire;5;22680462;Bucephala albeola;https://www.iucnredlist.org/species/22680462/92863192;LC
1899-04-21;Gardouch;f_006;inconnu;susceptible de provoquer des dégats;2;22696610;Podiceps nigricollis;https://www.iucnredlist.org/species/22696610/132584321;LC
1885-07-10;Lavelanet;f_007;inconnu;non concerné;3;22694841;Uria aalge;https://www.iucnredlist.org/species/22694841/132577296;LC
1905-03-01;Lavelanet;f_008;reproducteur;non concerné;3;22705921;Pyrrhocorax graculus;https://www.iucnredlist.org/species/22705921/87386602;LC
1896-08-23;Gardouch;f_004;inconnu;susceptible de provoquer des dégats;4;22724354;Molothrus ater;https://www.iucnredlist.org/species/22724354/132175819;LC
1890-12-28;Lavelanet;f_001;migrateur;susceptible de provoquer des dégats;2;22720441;Linaria cannabina;https://www.iucnredlist.org/species/22720441/132139778;LC
1905-01-08;Peyrissas;f_002;reproducteur;non concerné;3;22683027;Alcedo atthis;https://www.iucnredlist.org/species/22683027/89575948;LC
1907-12-25;Lavelanet;f_008;inconnu;non concerné;3;22680459;Bucephala islandica;https://www.iucnredlist.org/species/22680459/132530132;LC
1907-04-20;Lavelanet;f_003;inconnu;susceptible de provoquer des dégats;4;22689714;Chordeiles minor;https://www.iucnredlist.org/species/22689714/93244252;LC
1908-08-06;Lavelanet;f_005;reproducteur;auxiliaire;2;22680459;Bucephala islandica;https://www.iucnredlist.org/species/22680459/132530132;LC
1882-01-14;Gardouch;f_002;inconnu;auxiliaire;3;22695028;Elanus caeruleus;https://www.iucnredlist.org/species/22695028/152521997;LC
1888-09-02;Lavelanet;f_003;reproducteur;non concerné;3;22718505;Anthus godlewskii;https://www.iucnredlist.org/species/22718505/94584095;LC
1894-12-07;Lavelanet;f_007;migrateur;susceptible de provoquer des dégats;2;22696092;Hieraaetus pennatus;https://www.iucnredlist.org/species/22696092/93543946;LC
1894-10-08;Peyrissas;f_004;reproducteur;auxiliaire;3;22708286;Monticola solitarius;https://www.iucnredlist.org/species/22708286/87933903;LC
1884-09-29;Lavelanet;f_007;inconnu;non concerné;3;NA;Ichthyaetus audouinii;NA;NA
1893-05-20;Gardouch;f_001;reproducteur;susceptible de provoquer des dégats;3;62120190;Gallinula chloropus;https://www.iucnredlist.org/species/62120190/155506651;LC
1881-06-12;Peyrissas;f_002;migrateur;non concerné;2;22736108;Turdus atrogularis;https://www.iucnredlist.org/species/22736108/119726457;LC
1902-01-05;Lavelanet;f_006;inconnu;non concerné;3;22694136;Glareola nordmanni;https://www.iucnredlist.org/species/22694136/90086476;NT
1895-07-21;Peyrissas;f_001;inconnu;susceptible de provoquer des dégats;3;22714736;Acrocephalus dumetorum;https://www.iucnredlist.org/species/22714736/111098258;LC
1888-07-02;Gardouch;f_001;migrateur;susceptible de provoquer des dégats;4;22694787;Chlidonias niger;https://www.iucnredlist.org/species/22694787/155491450;LC
1895-04-16;Lavelanet;f_002;reproducteur;non concerné;3;22680459;Bucephala islandica;https://www.iucnredlist.org/species/22680459/132530132;LC
1869-03-06;Lavelanet;f_002;inconnu;auxiliaire;3;22680174;Anas rubripes;https://www.iucnredlist.org/species/22680174/92848173;LC
1908-06-26;Lavelanet;f_009;inconnu;non concerné;2;22720041;Fringilla montifringilla;https://www.iucnredlist.org/species/22720041/88203665;LC
1890-05-14;Lavelanet;f_007;inconnu;susceptible de provoquer des dégats;5;NA;Porzana pusilla;NA;NA
1874-01-04;Lavelanet;f_005;inconnu;auxiliaire;1;22714657;Locustella naevia;https://www.iucnredlist.org/species/22714657/118740792;LC
1891-11-10;Gardouch;f_003;reproducteur;auxiliaire;2;22735929;Larus cachinnans;https://www.iucnredlist.org/species/22735929/132665415;LC
1908-09-23;Peyrissas;f_001;migrateur;auxiliaire;3;22727969;Himantopus himantopus;https://www.iucnredlist.org/species/22727969/155440465;LC
1882-02-06;Gardouch;f_002;migrateur;susceptible de provoquer des dégats;4;22680364;Aythya valisineria;https://www.iucnredlist.org/species/22680364/92858752;LC
1872-03-11;Lavelanet;f_011;migrateur;susceptible de provoquer des dégats;2;22735929;Larus cachinnans;https://www.iucnredlist.org/species/22735929/132665415;LC
1876-05-26;Gardouch;f_004;reproducteur;auxiliaire;2;22709696;Luscinia megarhynchos;https://www.iucnredlist.org/species/22709696/111760622;LC
1878-12-29;Gardouch;f_002;reproducteur;auxiliaire;2;22697669;Ciconia nigra;https://www.iucnredlist.org/species/22697669/111747857;LC
1868-08-10;Peyrissas;f_004;inconnu;non concerné;3;22680358;Aythya ferina;https://www.iucnredlist.org/species/22680358/155473754;VU
1883-02-16;Lavelanet;f_009;migrateur;susceptible de provoquer des dégats;1;22694629;Sterna paradisaea;https://www.iucnredlist.org/species/22694629/132065195;LC
